age,bilat_0,Damoiseaux.fit,Burke.fit,Appelman.fit,Saux.fit,McCormick.fit,Damoiseaux.se,Burke.se,Appelman.se,Saux.se,McCormick.se
1.48,No,0.06060068,NA,0.039915181,0.055180376,0.05750229,0.138456951,NA,0.183481686,0.105621347,0.132236661
1.49,No,0.060643241,NA,0.039900917,0.055216133,0.057529337,0.139109721,NA,0.182704305,0.105270799,0.132120113
1.5,No,0.060685459,NA,0.039886502,0.055251743,0.057556087,0.139788784,NA,0.18192964,0.104921643,0.132009523
1.51,No,0.060727336,NA,0.039871938,0.055287206,0.05758254,0.140493607,NA,0.181157707,0.10457389,0.131904784
1.52,No,0.060768869,NA,0.039857225,0.055322522,0.057608692,0.141223651,NA,0.18038852,0.104227549,0.131805795
1.53,No,0.06081006,NA,0.039842363,0.055357692,0.057634544,0.141978372,NA,0.179622094,0.103882631,0.13171245
1.54,No,0.060850907,NA,0.039827352,0.055392715,0.057660093,0.14275722,NA,0.178858446,0.103539145,0.131624647
1.55,No,0.060891411,NA,0.039812194,0.055427592,0.057685337,0.143559647,NA,0.17809759,0.103197102,0.131542283
1.56,No,0.060931571,NA,0.039796889,0.055462321,0.057710275,0.144385099,NA,0.17733954,0.102856511,0.131465257
1.57,No,0.060971387,NA,0.039781437,0.055496904,0.057734906,0.145233024,NA,0.176584311,0.102517382,0.131393468
1.58,No,0.061010858,NA,0.039765839,0.05553134,0.057759227,0.146102868,NA,0.175831919,0.102179727,0.131326816
1.59,No,0.061049984,NA,0.039750096,0.055565629,0.057783238,0.146994082,NA,0.175082377,0.101843554,0.1312652
1.6,No,0.061088765,NA,0.039734206,0.055599771,0.057806936,0.147906114,NA,0.174335701,0.101508873,0.131208521
1.61,No,0.061127201,NA,0.039718172,0.055633766,0.057830319,0.148838419,NA,0.173591904,0.101175696,0.131156682
1.62,No,0.061165291,NA,0.039701994,0.055667614,0.057853387,0.149790453,NA,0.172851002,0.100844032,0.131109584
1.63,No,0.061203035,NA,0.039685672,0.055701315,0.057876136,0.150761678,NA,0.172113008,0.100513891,0.131067134
1.64,No,0.061240433,NA,0.039669206,0.055734869,0.057898565,0.151751559,NA,0.171377937,0.100185283,0.131029235
1.65,No,0.061277485,NA,0.039652598,0.055768276,0.057920673,0.152759568,NA,0.170645802,0.099858219,0.130995796
1.66,No,0.06131419,NA,0.039635847,0.055801536,0.057942457,0.153785182,NA,0.169916618,0.099532709,0.130966723
1.67,No,0.061350548,NA,0.039618954,0.055834649,0.057963915,0.154827885,NA,0.169190399,0.099208763,0.130941924
1.68,No,0.061386559,NA,0.03960192,0.055867615,0.057985046,0.155887166,NA,0.168467159,0.098886392,0.130921308
1.69,No,0.061422222,NA,0.039584745,0.055900433,0.058005848,0.156962524,NA,0.167746911,0.098565606,0.130904783
1.7,No,0.061457538,NA,0.03956743,0.055933105,0.058026318,0.158053463,NA,0.167029669,0.098246414,0.130892257
1.71,No,0.061492506,NA,0.039549974,0.055965629,0.058046455,0.159159496,NA,0.166315447,0.097928828,0.130883641
1.72,No,0.061527126,NA,0.039532379,0.055998007,0.058066257,0.160280145,NA,0.165604257,0.097612857,0.130878845
1.73,No,0.061561398,NA,0.039514645,0.056030237,0.058085722,0.161414937,NA,0.164896115,0.097298513,0.130877776
1.74,No,0.061595321,NA,0.039496773,0.05606232,0.058104848,0.162563412,NA,0.164191032,0.096985805,0.130880347
1.75,No,0.061628896,NA,0.039478763,0.056094256,0.058123633,0.163725114,NA,0.163489022,0.096674744,0.130886464
1.76,No,0.061662123,NA,0.039460615,0.056126044,0.058142075,0.164899599,NA,0.162790099,0.09636534,0.130896039
1.77,No,0.061695,NA,0.03944233,0.056157686,0.058160172,0.166086431,NA,0.162094274,0.096057603,0.130908981
1.78,No,0.061727528,NA,0.039423908,0.05618918,0.058177922,0.167285182,NA,0.161401563,0.095751544,0.130925198
1.79,No,0.061759708,NA,0.039405351,0.056220527,0.058195323,0.168495434,NA,0.160711976,0.095447174,0.1309446
1.8,No,0.061791537,NA,0.039386657,0.056251727,0.058212373,0.169716778,NA,0.160025527,0.095144502,0.130967096
1.81,No,0.061823018,NA,0.039367829,0.056282779,0.05822907,0.170948812,NA,0.159342229,0.094843539,0.130992595
1.82,No,0.061854149,NA,0.039348866,0.056313685,0.058245413,0.172191147,NA,0.158662093,0.094544295,0.131021007
1.83,No,0.06188493,NA,0.039329769,0.056344443,0.058261398,0.173443398,NA,0.157985134,0.094246781,0.131052241
1.84,No,0.061915361,NA,0.039310539,0.056375054,0.058277024,0.174705193,NA,0.157311362,0.093951008,0.131086209
1.85,No,0.061945442,NA,0.039291175,0.056405518,0.058292289,0.175976165,NA,0.156640791,0.093656985,0.131122823
1.86,No,0.061975173,NA,0.039271679,0.056435834,0.05830719,0.177255961,NA,0.155973433,0.093364722,0.131161993
1.87,No,0.062004554,NA,0.039252051,0.056466003,0.058321727,0.17854423,NA,0.155309299,0.093074231,0.131203633
1.88,No,0.062033585,NA,0.039232291,0.056496025,0.058335896,0.179840636,NA,0.154648401,0.092785521,0.131247655
1.89,No,0.062062266,NA,0.0392124,0.0565259,0.058349696,0.181144846,NA,0.153990752,0.092498604,0.131293972
1.9,No,0.062090596,NA,0.039192378,0.056555628,0.058363125,0.18245654,NA,0.153336363,0.092213488,0.131342498
1.91,No,0.062118576,NA,0.039172226,0.056585208,0.058376183,0.183775402,NA,0.152685247,0.091930185,0.131393146
1.92,No,0.062146205,NA,0.039151944,0.056614642,0.058388865,0.185101128,NA,0.152037414,0.091648704,0.131445829
1.93,No,0.062173484,NA,0.039131533,0.056643928,0.058401172,0.186433419,NA,0.151392876,0.091369057,0.131500459
1.94,No,0.062200412,NA,0.039110994,0.056673067,0.0584131,0.187771985,NA,0.150751644,0.091091253,0.131556952
1.95,No,0.062226989,NA,0.039090326,0.056702059,0.058424648,0.189116543,NA,0.15011373,0.090815302,0.131615222
1.96,No,0.062253216,NA,0.039069531,0.056730903,0.058435815,0.190466819,NA,0.149479146,0.090541215,0.131675185
1.97,No,0.062279092,NA,0.039048608,0.056759601,0.058446598,0.191822545,NA,0.148847901,0.090269001,0.131736756
1.98,No,0.062304617,NA,0.039027559,0.056788152,0.058456995,0.19318346,NA,0.148220007,0.089998671,0.131799853
1.99,No,0.062329792,NA,0.039006383,0.056816555,0.058467005,0.194549313,NA,0.147595474,0.089730236,0.131864395
2,No,0.062354616,NA,0.038985082,0.056844811,0.058476625,0.195919856,NA,0.146974315,0.089463704,0.1319303
2.01,No,NA,NA,0.038963655,0.05687292,0.058485854,NA,NA,0.146356538,0.089199086,0.131997491
2.02,No,NA,NA,0.038942104,0.056900883,0.05849469,NA,NA,0.145742155,0.088936393,0.132065889
2.03,No,NA,NA,0.038920429,0.056928698,0.058503132,NA,NA,0.145131176,0.088675633,0.132135418
2.04,No,NA,NA,0.038898629,0.056956366,0.058511177,NA,NA,0.144523612,0.088416817,0.132206003
2.05,No,NA,NA,0.038876707,0.056983887,0.058518825,NA,NA,0.143919472,0.088159955,0.132277568
2.06,No,NA,NA,0.038854661,0.057011261,0.058526073,NA,NA,0.143318766,0.087905056,0.132350041
2.07,No,NA,NA,0.038832494,0.057038489,0.05853292,NA,NA,0.142721505,0.08765213,0.13242335
2.08,No,NA,NA,0.038810204,0.057065569,0.058539366,NA,NA,0.142127698,0.087401187,0.132497424
2.09,No,NA,NA,0.038787794,0.057092503,0.058545407,NA,NA,0.141537355,0.087152236,0.132572192
2.1,No,NA,NA,0.038765262,0.057119289,0.058551043,NA,NA,0.140950486,0.086905288,0.132647588
2.11,No,NA,NA,0.038742611,0.057145929,0.058556272,NA,NA,0.1403671,0.086660351,0.132723544
2.12,No,NA,NA,0.038719839,0.057172422,0.058561093,NA,NA,0.139787206,0.086417435,0.132799996
2.13,No,NA,NA,0.038696948,0.057198768,0.058565503,NA,NA,0.139210813,0.086176549,0.132876881
2.14,No,NA,NA,0.038673938,0.057224968,0.058569503,NA,NA,0.138637931,0.085937703,0.13295414
2.15,No,NA,NA,0.03865081,0.05725102,0.05857309,NA,NA,0.138068568,0.085700906,0.13303171
2.16,No,NA,NA,0.038627564,0.057276927,0.058576264,NA,NA,0.137502734,0.085466167,0.133109535
2.17,No,NA,NA,0.038604201,0.057302686,0.058579025,NA,NA,0.136940437,0.085233495,0.133187555
2.18,No,NA,NA,0.038580721,0.057328299,0.05858137,NA,NA,0.136381685,0.085002898,0.133265712
2.19,No,NA,NA,0.038557125,0.057353765,0.058583299,NA,NA,0.135826487,0.084774387,0.133343951
2.2,No,NA,NA,0.038533412,0.057379085,0.05858481,NA,NA,0.135274851,0.08454797,0.133422218
2.21,No,NA,NA,0.038509585,0.057404258,0.058585903,NA,NA,0.134726785,0.084323655,0.133500461
2.22,No,NA,NA,0.038485642,0.057429285,0.058586575,NA,NA,0.134182297,0.084101451,0.133578629
2.23,No,NA,NA,0.038461585,0.057454165,0.058586827,NA,NA,0.133641396,0.083881366,0.133656675
2.24,No,NA,NA,0.038437414,0.057478899,0.058586656,NA,NA,0.133104088,0.08366341,0.133734551
2.25,No,NA,NA,0.03841313,0.057503487,0.058586062,NA,NA,0.132570381,0.08344759,0.133812214
2.26,No,NA,NA,0.038388733,0.057527928,0.058585044,NA,NA,0.132040283,0.083233914,0.133889625
2.27,No,NA,NA,0.038364223,0.057552223,0.058583599,NA,NA,0.131513801,0.083022392,0.133966744
2.28,No,NA,NA,0.038339602,0.057576372,0.058581728,NA,NA,0.130990941,0.08281303,0.134043537
2.29,No,NA,NA,0.038314869,0.057600375,0.058579429,NA,NA,0.130471712,0.082605836,0.134119972
